offset, x, y
115, 0, -1
243, 0, 1
137, 1, 0
178, 0, -1
90, 1, -1
104, -2, 0
118, 1, 0
123, 0, 1
499, 0, -1
125, -1, 1
125, 1, 0
249, -2, 0
147, 2, 1
784, -2, -1
261, 1, 0
81, 1, 0
294, -2, 0
250, 2, -1
163, -1, 1
65, 1, 0
147, 0, 1
106, 0, -2
149, -3, 0
64, 2, 1
115, 0, -1
125, 1, 0
125, -2, 1
125, 2, 0
376, -1, 0
135, 1, -1
140, 1, 0
249, 0, 1
120, -2, 0
106, 1, 0
556, 0, -1
258, 0, 1
160, -1, 0
215, 1, 0
158, 0, 1
77, -3, -1
128, 2, 0
386, 0, -1
159, 2, 1
77, -1, 1
341, 1, -1
162, -3, 0
230, 1, 0
158, 1, 0
147, -1, 0
726, 1, 0
250, -1, 0
1002, 0, 2
83, 1, 0
127, 0, -2
562, 0, 1
67, -1, -1
1412, 1, 0
481, 0, 1
393, 0, -2
93, 0, 1
158, -2, 0
69, 2, 0
249, -1, 1
125, 1, -1
250, -1, 0
896, 1, 0
105, -3, -1
124, 3, 1
249, 0, -1
119, 1, 0
126, -2, 1
527, 0, 1
104, 0, -1
386, 2, -1
115, -1, 1
124, -1, 1
126, 0, -1
116, 0, 1
123, 0, -1
250, 0, 1
250, 1, -1
261, -2, 0
124, 2, 0
156, -1, 1
219, -1, 0
254, 2, 0
121, -1, 0
126, 0, -1
248, -1, 0
126, 2, 0
893, -3, -1
107, 1, 0
125, 3, 0
126, -3, 1
239, 2, 0
401, -2, 0
234, 2, 0
126, -2, 0
123, 2, 0
125, -1, -1
130, 0, 1
371, 1, 0
125, -1, 1
393, 1, 0
356, -1, 0
126, 0, -1
249, 0, -1
126, -1, 1
249, -1, 0
250, 1, 0
125, 0, 1
126, 2, 0
124, -1, -1
126, 3, 0
124, -2, 0
251, -1, 0
250, -1, 0
125, 1, 0
125, 1, 0
392, -1, 0
233, 1, 0
116, 0, 1
131, -1, 0
121, 1, -1
247, -3, 0
125, 2, 0
125, 0, 1
250, 0, -1
126, -1, 0
250, 0, 1
125, 1, -1
124, 1, 0
250, -1, 0
391, 1, 0
609, -1, 0
391, 1, 0
109, 3, 0
125, -2, 0
126, -2, 0
124, 0, -1
125, 1, 0
125, 0, 1
126, 1, 0
500, -1, 1
125, -1, 0
124, 2, -1
126, 0, -1
128, -1, 1
498, 1, 0
124, -1, 1
124, -1, 0
125, 0, -1
625, 1, 0
252, -1, 0
639, -1, 0
234, 2, 0
625, -3, -1
125, 2, 1
126, 1, 0
249, -1, 0
375, 0, -1
126, 1, 1
124, -1, 0
125, 2, 0
125, -1, 0
250, -2, 1
126, 2, -1
249, -1, 0
125, 0, 1
250, 2, -1
125, -2, 0
389, 0, 1
112, 0, -1
124, 0, -1
125, 0, 1
125, 4, 0
125, -3, 0
128, -2, -1
123, 2, 1
374, -2, 0
250, 1, 0
125, -1, 0
250, 2, 1
125, 0, -1
250, -1, 0
125, 1, 0
250, -1, 0
516, 0, 1
110, 0, -1
375, 0, -1
124, 1, 0
125, 0, 1
126, -3, -1
124, 2, 1
125, -2, 0
126, 2, 0
125, -1, 0
124, 2, -1
125, -1, 0
125, 1, 0
126, -1, 0
249, 2, 0
126, 0, 1
124, -1, 0
750, -1, 0
390, 1, 0
376, 0, -1
109, 0, 1
251, -2, 0
125, 1, 0
249, 0, -1
126, 1, 0
125, 0, 1
375, -1, 1
124, 1, 0
125, -2, -1
250, 1, 0
126, 1, 0
249, -1, 0
125, 0, -1
125, 0, 1
125, 2, 0
125, -3, 0
251, 1, 0
249, 1, 0
125, -1, 0
125, 1, 0
503, -2, 1
124, 0, -1
124, -2, -1
139, 3, 1
113, 1, 0
