offset, x, y
1200, 1, 0
1754, 0, 1
119, 1, 0
1369, 1, 0
876, 1, 0
763, 0, 1
253, 1, 0
984, 1, 0
874, 1, 0
125, 0, 1
626, 1, 0
624, 1, 0
375, 0, 1
248, 1, 0
627, 1, 0
750, 1, 1
500, 1, 0
625, 1, 0
507, 1, 0
250, 0, 1
374, 1, 0
494, 1, 0
495, 1, 1
630, 1, 0
377, 1, 0
507, 1, 0
248, 0, 1
240, 1, 0
399, 1, 0
539, 1, 0
318, 0, 1
123, 1, 0
379, 1, 0
478, 1, 0
374, 1, 0
250, 0, 1
126, 1, 0
499, 1, 0
377, 1, 0
373, 1, 0
126, 0, 1
250, 1, 0
379, 1, 0
371, 1, 0
375, 1, 0
374, 1, 0
250, 0, 1
125, 1, 0
405, 1, 0
345, 1, 0
375, 1, 0
407, 1, 0
344, 1, 1
250, 1, 0
375, 1, 0
375, 1, 0
249, 1, 0
408, 1, 0
342, 1, 0
249, 1, 0
251, 0, 1
126, 1, 0
411, 1, 0
213, 1, 0
406, 1, 0
219, 1, 0
404, 1, 0
345, 1, 0
251, 1, 0
249, 1, 0
376, 1, 0
249, 1, 0
252, 1, 0
405, 1, 0
218, 1, 0
251, 1, 1
375, 1, 0
250, 1, 0
252, 1, 0
390, 1, 0
236, 1, 0
249, 1, 0
250, 1, 0
452, 1, 0
170, 1, 0
250, 1, 0
251, 1, 0
250, 1, 0
250, 1, 0
249, 1, 0
404, 1, 0
222, 1, 0
250, 1, 0
249, 1, 0
250, 1, 0
406, 1, 0
220, 1, 0
250, 1, 0
250, 1, 0
405, 1, 0
220, 1, 0
126, 0, 1
248, 1, 0
251, 1, 0
250, 1, 0
375, 1, 0
404, 1, 0
377, 1, 1
217, 1, 0
406, 1, 0
220, 1, 0
374, 1, 0
250, 0, 1
126, 1, 0
407, 1, 0
342, 1, 0
125, 0, 1
250, 1, 0
408, 1, 0
217, 0, 1
126, 1, 0
406, 1, 0
343, 1, 0
126, 0, 1
249, 1, 0
408, 1, 0
93, 0, 1
249, 1, 0
406, 1, 0
94, 0, 1
251, 1, 0
403, 1, 1
377, 1, 0
395, 1, 1
331, 1, 0
245, 1, 0
250, 0, 1
124, 1, 0
400, 1, 0
261, 0, 1
123, 1, 0
340, 1, 0
126, 0, 1
125, 1, 0
409, 1, 0
216, 0, 1
250, 1, 0
249, 1, 0
251, 0, 1
126, 1, 0
414, 1, 0
85, 0, 1
125, 1, 0
376, 1, 0
252, 0, 1
132, 1, 0
242, 1, 0
420, 1, 0
79, 0, 1
251, 1, 0
249, 1, 0
126, 0, 1
250, 1, 0
376, 1, 0
125, 0, 1
125, 1, 0
543, 1, 0
206, 1, 0
125, 0, 1
125, 1, 0
416, 1, 0
85, 0, 1
250, 1, 0
251, 1, 0
418, 1, 1
400, 1, 0
180, 1, 0
126, 0, 1
250, 1, 0
249, 1, 0
250, 0, 1
125, 1, 0
250, 1, 0
374, 1, 0
126, 0, 1
249, 1, 0
251, 1, 0
249, 0, 1
126, 1, 0
416, 1, 0
208, 1, 1
376, 1, 0
421, 1, 0
79, 0, 1
125, 1, 0
417, 1, 0
208, 0, 1
125, 1, 0
250, 1, 0
418, 1, 1
404, 1, 0
177, 1, 0
250, 0, 1
126, 1, 0
250, 1, 0
250, 0, 1
125, 1, 0
256, 1, 0
369, 1, 0
124, 0, 1
250, 1, 0
375, 1, 0
250, 1, 1
250, 1, 0
410, 1, 0
215, 0, 1
126, 1, 0
249, 1, 0
411, 1, 1
397, 1, 0
214, 1, 0
229, 1, 1
408, 1, 0
383, 1, 1
208, 1, 0
411, 1, 0
213, 0, 1
127, 1, 0
249, 1, 0
414, 1, 1
211, 1, 0
411, 1, 0
214, 1, 0
125, 0, 1
252, 1, 0
277, 1, 1
346, 1, 0
248, 1, 0
250, 0, 1
127, 1, 0
411, 1, 0
212, 1, 0
125, 0, 1
134, 1, 0
400, 1, 0
216, 1, 1
407, 1, 0
343, 1, 1
250, 1, 0
250, 1, 0
376, 1, 1
249, 1, 0
374, 1, 0
128, 0, 1
123, 1, 0
377, 1, 0
123, 0, 1
125, 1, 0
407, 1, 0
218, 1, 0
125, 0, 1
126, 1, 0
374, 1, 0
250, 1, 1
250, 1, 0
409, 1, 0
92, 0, 1
124, 1, 0
375, 1, 0
250, 1, 1
405, 1, 0
246, 1, 1
265, 1, 0
335, 1, 0
250, 1, 1
249, 1, 0
407, 1, 0
94, 0, 1
125, 1, 0
407, 1, 0
94, 0, 1
124, 1, 0
375, 1, 0
250, 1, 1
250, 1, 0
432, 1, 0
69, 1, 1
409, 1, 0
216, 0, 1
125, 1, 0
249, 1, 0
254, 1, 0
247, 1, 1
376, 1, 0
250, 1, 0
125, 0, 1
125, 1, 0
411, 1, 0
213, 1, 1
250, 1, 0
250, 1, 0
250, 0, 1
125, 1, 0
250, 1, 0
409, 1, 1
216, 1, 0
449, 1, 0
60, 0, 1
117, 1, 0
408, 1, 0
216, 1, 0
126, 0, 1
249, 1, 0
250, 1, 0
253, 1, 0
248, 0, 1
124, 1, 0
250, 1, 0
249, 0, 1
128, 1, 0
249, 1, 0
249, 1, 0
251, 0, 1
125, 1, 0
249, 1, 0
443, 1, 0
58, 0, 1
125, 1, 0
414, 1, 0
335, 1, 1
250, 1, 0
445, 1, 0
180, 1, 0
125, 0, 1
250, 1, 0
250, 1, 0
417, 1, 1
429, 1, 0
279, 1, 0
250, 1, 1
375, 1, 0
412, 1, 0
89, 0, 1
124, 1, 0
375, 1, 0
411, 1, 0
90, 0, 1
249, 1, 0
375, 1, 0
375, 1, 1
417, 1, 0
333, 1, 0
251, 0, 1
248, 1, 0
250, 1, 0
540, 1, 0
86, 0, 1
250, 1, 0
500, 1, 0
423, 1, 0
78, 0, 1
374, 1, 0
417, 0, 1
83, 1, 0
537, 1, 0
337, 1, 0
413, 0, 1
213, 1, 0
667, 1, 0
499, 1, 1
627, 1, 0
331, 0, 1
250, 1, 0
935, 1, 0
607, 1, 1
1032, 1, 0
678, 0, 1
124, 1, 0
1300, 1, 0
102, 0, 1
1396, 1, 0
452, 0, 1
1000, 1, 0
1311, 0, 1
813, 1, 0
889, 0, 1
2787, 0, 1
85, 1, 0
2413, 0, 1
2012, 0, 1
2109, 0, 1
848, -1, 0
1252, 0, 1
1257, -1, 0
617, 0, 1
1253, -1, 0
906, 0, 1
592, -1, 0
1246, 0, 1
136, -1, 0
1366, -1, 0
125, 0, 1
1028, -1, 0
853, 0, 1
245, -1, 0
1001, -1, 0
623, 0, 1
375, -1, 0
1017, -1, 0
233, 0, 1
499, -1, 0
750, -1, 0
625, 0, 1
251, -1, 0
751, -1, 0
674, 0, 1
80, -1, 0
628, -1, 0
743, -1, 0
625, -1, 0
124, 0, 1
502, -1, 0
632, -1, 0
751, -1, 0
619, -1, 0
126, 0, 1
381, -1, 0
511, -1, 0
628, -1, 0
620, -1, 0
252, 0, 1
242, -1, 0
493, -1, 0
512, -1, 0
483, -1, 0
506, -1, 0
498, -1, 0
506, -1, 0
372, -1, 0
371, 0, 1
131, -1, 0
497, -1, 0
371, -1, 0
378, -1, 0
501, -1, 0
371, -1, 0
504, -1, 0
373, -1, 0
377, -1, 0
499, -1, 0
374, -1, 0
386, -1, 0
368, -1, 0
540, -1, 0
232, -1, 0
347, -1, 0
375, -1, 0
376, -1, 0
247, -1, 0
501, -1, 0
252, -1, 0
374, -1, 0
375, -1, 0
376, -1, 0
373, -1, 0
249, -1, 0
252, -1, 0
373, -1, 0
376, -1, 0
242, -1, 0
381, -1, -1
249, -1, 0
382, -1, 0
242, -1, 0
248, -1, 0
372, -1, 0
253, -1, 0
373, -1, 0
249, -1, 0
255, 0, -1
132, -1, 0
248, -1, 0
244, -1, 0
256, -1, 0
244, -1, 0
373, -1, 0
250, -1, 0
245, -1, -1
250, -1, 0
250, -1, 0
375, -1, 0
259, -1, 0
242, -1, 0
248, -1, -1
251, -1, 0
250, -1, 0
253, -1, 0
249, -1, 0
248, -1, 0
255, -1, -1
249, -1, 0
120, -1, 0
253, -1, 0
253, -1, 0
245, -1, 0
252, -1, 0
125, 0, -1
122, -1, 0
243, -1, 0
251, -1, 0
250, -1, 0
126, -1, 0
258, -1, 0
126, 0, -1
124, -1, 0
240, -1, 0
125, -1, 0
250, -1, 0
249, -1, 0
127, 0, -1
124, -1, 0
249, -1, 0
126, -1, 0
125, -1, 0
249, -1, 0
251, -1, 0
252, -1, -1
248, -1, 0
126, -1, 0
249, -1, 0
125, -1, 0
249, -1, -1
126, -1, 0
250, -1, 0
250, -1, 0
125, -1, 0
249, -1, 0
250, -1, -1
127, -1, 0
249, -1, 0
126, -1, 0
252, -1, 0
122, -1, 0
250, -1, -1
125, -1, 0
