frequency,avgNoisy,avgData,postFiltering
0.0,92.4959,0.18819901,0.20789647
1.0,99.33905,0.119528286,0.1364689
2.0,93.44292,0.10233691,0.109968625
3.0,92.49427,0.11038957,0.12181228
4.0,87.51454,0.13248923,0.1334667
5.0,86.71777,0.19040647,0.1868144
6.0,85.21141,0.25266862,0.26015824
7.0,83.86057,0.30879056,0.2966749
8.0,84.38806,0.43678656,0.4267102
9.0,85.139626,0.5185914,0.5169355
10.0,84.36238,0.43473318,0.43902534
11.0,84.654884,0.33538383,0.33013913
12.0,84.44258,0.33641627,0.35145545
13.0,83.35034,0.31366584,0.3023616
14.0,83.53628,0.3056026,0.29094064
15.0,84.77156,0.3332005,0.31805804
16.0,84.38929,0.3912328,0.37154284
17.0,83.50842,0.5782489,0.56176084
18.0,82.88359,0.65316635,0.6045853
19.0,83.03533,0.50720316,0.478579
20.0,80.42964,0.58735996,0.5438749
21.0,82.25755,0.6728337,0.6248902
22.0,81.29486,0.62059236,0.57553315
23.0,82.339584,0.83583504,0.8007447
24.0,82.05092,1.09861,0.9856046
25.0,84.41147,1.2930626,1.2348416
26.0,83.160995,1.5097721,1.3918753
27.0,83.25816,1.207652,1.1325423
28.0,84.77896,0.7163076,0.6985112
29.0,82.81789,0.3952958,0.36718577
30.0,81.22101,0.33454865,0.3061307
31.0,82.13139,0.2923625,0.28083488
32.0,82.36601,0.24724784,0.23043442
33.0,81.765335,0.20844766,0.19964807
34.0,83.31218,0.2111906,0.20585741
35.0,81.533554,0.20134212,0.19017632
36.0,82.09454,0.18079358,0.17739189
37.0,81.28421,0.16989377,0.15341899
38.0,79.89617,0.16702506,0.1525897
39.0,83.79413,0.15313837,0.14384267
40.0,83.2916,0.12593149,0.12330561
41.0,82.91582,0.123314574,0.11669767
42.0,84.36047,0.124692135,0.11935923
43.0,84.660706,0.13019486,0.12725016
44.0,82.936935,0.14750153,0.1431542
45.0,85.32204,0.14536588,0.13742101
46.0,83.61694,0.13349596,0.13309821
47.0,82.81032,0.1369962,0.12979083
48.0,82.96002,0.16046317,0.15009362
49.0,85.097916,0.1831282,0.18564668
50.0,84.35292,0.1308205,0.123336524
51.0,83.40073,0.121546365,0.118719645
52.0,84.73295,0.12118027,0.11644321
53.0,82.25691,0.11882415,0.114490256
54.0,83.28143,0.11153754,0.110952236
55.0,81.90792,0.10877618,0.10099917
56.0,82.88011,0.10644217,0.099244975
57.0,81.5146,0.10479023,0.10119826
58.0,84.10401,0.10850885,0.101422615
59.0,84.02365,0.1097357,0.106036104
60.0,85.12065,0.11274212,0.10811201
61.0,85.01581,0.115970254,0.11159536
62.0,84.820244,0.12683363,0.118295625
63.0,83.55464,0.13295078,0.124196924
64.0,84.548416,0.13194324,0.12147645
65.0,83.43636,0.12796012,0.11092614
66.0,83.19066,0.12906675,0.11284513
