frequency,avgNoisy,avgData,postFiltering
0.0,202.47675,5.1259074,4.313871
0.2,205.30304,5.8929214,5.9557185
0.4,201.27484,7.9102683,8.305616
0.6,204.30966,13.076804,12.490245
0.8,198.64645,20.70556,17.994053
1.0,198.79057,28.183249,25.21292
1.2,202.80554,31.22284,29.547813
1.4,199.63382,32.5298,29.176311
1.6,201.74399,33.923233,31.638607
1.8000001,205.45116,35.173725,31.443735
2.0,203.60548,36.19836,29.933104
2.2,194.6449,33.457108,30.632492
2.4,198.39337,30.732494,25.699839
2.6000001,198.18903,28.594213,25.005535
2.8,203.90164,25.692854,25.65315
3.0,200.12628,25.46759,25.759014
3.2,201.89433,24.390917,22.673824
3.4,202.20264,22.936478,21.08514
3.6000001,196.34981,20.59345,18.245216
3.8,198.89732,18.819544,17.330648
4.0,200.22952,18.039312,17.8641
4.2000003,203.6713,16.842909,17.558987
4.4,198.58571,14.979465,13.484771
4.6,196.07034,13.892331,12.58272
4.8,197.31625,12.947132,11.379865
5.0,198.40398,12.566531,11.924745
5.2000003,200.69742,11.803098,12.247108
5.4,198.46057,10.57078,10.143972
5.6,197.0348,10.0204935,9.346552
5.8,194.99603,9.546467,8.963721
6.0,196.78497,9.298989,9.644068
6.2000003,197.71835,9.2900505,10.983585
6.4,199.50766,9.319639,9.778755
6.6,197.57108,9.041674,9.342728
6.8,194.55501,8.717155,8.904626
7.0,202.03214,8.833744,8.12632
7.2000003,201.65901,8.716171,8.247216
7.4,202.20464,8.63609,8.769617
7.6,196.58826,8.613522,7.9725027
7.8,200.5411,8.594266,8.233825
8.0,206.20935,8.551057,9.199198
8.2,204.81482,8.316688,8.411478
8.400001,202.02417,8.353804,8.28537
8.6,197.55835,8.521498,8.611167
8.8,199.07048,8.628122,9.030476
9.0,198.63452,8.877737,8.437552
9.2,202.64986,8.623679,8.502473
9.400001,198.94225,8.492523,8.583622
9.6,200.68439,8.678841,8.890697
9.8,196.6612,9.09033,9.056811
10.0,196.83997,9.137258,8.604135
10.2,197.16321,8.909099,9.017974
10.400001,199.99127,8.731181,8.8488035
10.6,200.51837,9.321399,9.125979
10.8,201.05501,9.3035,9.0358
11.0,197.3644,9.107426,8.707972
11.2,198.21228,9.391111,9.235803
11.400001,197.98492,9.374494,9.603295
11.6,199.25449,9.349271,11.221071
11.8,199.44739,9.816985,10.407997
12.0,201.59454,9.903556,10.750616
12.2,198.85054,10.104673,10.589053
12.400001,198.95328,11.139713,10.601687
12.6,198.03957,12.808627,12.912908
12.8,200.56917,13.143274,13.439808
13.0,202.65814,13.63782,14.004971
13.2,202.74579,14.68616,15.317144
13.400001,199.0607,15.594621,13.8607
13.6,200.32892,13.960726,12.589748
